City Name,Median Household Income,City Population
"Atherton, CA ",250001.00,7034.00
"Hillsborough, CA ",250001.00,11148.00
"Hidden Hills, CA ",245694.00,1749.00
"Lake Sherwood, CA ",230000.00,1526.00
"Ladera, CA ",225391.00,1497.00
"Los Altos Hills, CA ",224271.00,8244.00
"Rolling Hills, CA ",218583.00,1689.00
"Piedmont, CA ",212222.00,10957.00
"Loyola, CA ",210882.00,3463.00
"Bell Canyon, CA ",208508.00,2289.00
"Woodside, CA ",206528.00,5427.00
"Norris Canyon, CA ",196726.00,1227.00
"Sleepy Hollow, CA ",189688.00,2584.00
"Monte Sereno, CA ",187115.00,3462.00
"Ross, CA ",186477.00,2227.00
"Portola Valley, CA ",182381.00,4478.00
"Kentfield, CA ",175573.00,6667.00
"Pasatiempo, CA ",175536.00,1016.00
"Palos Verdes Estates, CA ",171328.00,13568.00
"West Menlo Park, CA ",169798.00,3743.00
"Saratoga, CA ",167917.00,30627.00
"Blackhawk, CA ",167875.00,9297.00
"Diablo, CA ",167188.00,969.00
"Orinda, CA ",166866.00,18390.00
"Coto De Caza, CA ",166328.00,14647.00
"Belvedere, CA ",166250.00,2036.00
"Emerald Lake Hills, CA ",166063.00,4519.00
"Alamo, CA ",163151.00,15639.00
"Santa Rosa Valley, CA ",162639.00,3422.00
"Silverado Resort, CA ",161739.00,1074.00
"Muir Beach, CA ",161458.00,292.00
"Acalanes Ridge, CA ",160000.00,1226.00
"Los Altos, CA ",157500.00,29762.00
"La Canada Flintridge, CA ",151786.00,20477.00
"Villa Park, CA ",150864.00,5911.00
"Montara, CA ",147568.00,2880.00
"Camino Tassajara, CA ",142371.00,1789.00
"Manhattan Beach, CA ",142071.00,35534.00
"Acampo, CA ",141250.00,776.00
"Danville, CA ",140616.00,42891.00
"Tamalpais-Homestead Valley, CA ",138598.00,10331.00
"Lafayette, CA ",138073.00,24685.00
"Kensington, CA ",136625.00,5351.00
"Rolling Hills Estates, CA ",136477.00,8184.00
"San Miguel, CA ",136346.00,3355.00
"Sunny Slopes, CA ",135438.00,137.00
"Highlands-Baywood Park, CA ",135345.00,4298.00
"Cupertino, CA ",134872.00,59787.00
"Moraga, CA ",132651.00,16549.00
"Mill Valley, CA ",132192.00,14178.00
"Waterloo, CA ",132125.00,384.00
"Ladera Ranch, CA ",131952.00,26010.00
"Clayton, CA ",131136.00,11328.00
"Tiburon, CA ",130661.00,9100.00
"Malibu, CA ",130432.00,12830.00
"Montecito, CA ",130129.00,9444.00
"Lucas Valley-Marinwood, CA ",129389.00,6168.00
"San Ramon, CA ",129062.00,73826.00
"Palo Alto, CA ",126771.00,65998.00
"Reliez Valley, CA ",126458.00,3677.00
"Lexington Hills, CA ",125893.00,2367.00
"San Carlos, CA ",125747.00,29166.00
"Sierra City, CA ",123846.00,263.00
"Sereno Del Mar, CA ",123611.00,51.00
"Pleasanton, CA ",123608.00,73164.00
"North Tustin, CA ",123270.00,25724.00
"Allendale, CA ",123125.00,1613.00
"Los Gatos, CA ",122860.00,30163.00
"Las Flores, CA ",121696.00,6311.00
"East Foothills, CA ",120881.00,6479.00
"Rancho Palos Verdes, CA ",120697.00,42282.00
"Shell Ridge, CA ",120163.00,1139.00
"San Marino, CA ",119300.00,13294.00
"Fairbanks Ranch, CA ",119228.00,3245.00
"El Dorado Hills, CA ",118306.00,43862.00
"Granite Bay, CA ",118063.00,22646.00
"Black Point-Green Point, CA ",117431.00,1111.00
"Oak Park, CA ",117326.00,14512.00
"Calabasas, CA ",117176.00,23956.00
"Peters, CA ",116616.00,523.00
"Yorba Linda, CA ",115994.00,66335.00
"Menlo Park, CA ",115650.00,32792.00
